opcode[7] funct3[3] funct7[7] add sub op_sll op_slt op_sltu op_xor op_slr op_sra op_or op_and mul mulh mulsu mulu div divu op_rem remu R
0110011 0x0 0x00 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0110011 0x0 0x20 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0110011 0x1 0x00 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0110011 0x2 0x00 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0110011 0x3 0x00 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0110011 0x4 0x00 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
0110011 0x5 0x00 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1
0110011 0x5 0x20 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
0110011 0x6 0x00 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
0110011 0x7 0x00 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
0110011 0x0 0x01 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
0110011 0x1 0x01 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1
0110011 0x2 0x01 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1
0110011 0x3 0x01 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
0110011 0x4 0x01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
0110011 0x5 0x01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
0110011 0x6 0x01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1
0110011 0x7 0x01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
0000000 0x0 0x00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0000000 0x0 0x01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
